Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
09.01.2016,20:00,32624.31,09/01/2016 20:00,0,0,0
09.01.2016,21:00,32097.79,09/01/2016 21:00,0,0,0
09.01.2016,22:00,32176.63,09/01/2016 22:00,0,0,0
09.01.2016,23:00,30760.17,09/01/2016 23:00,0,0,0
10.01.2016,00:00,28890.37,10/01/2016 00:00,0,0,0
10.01.2016,01:00,27133.75,10/01/2016 01:00,0,0,0
10.01.2016,02:00,25656.13,10/01/2016 02:00,0,0,0
10.01.2016,03:00,24937.87,10/01/2016 03:00,0,0,0
10.01.2016,04:00,24538.16,10/01/2016 04:00,0,0,0
10.01.2016,05:00,24616.05,10/01/2016 05:00,0,0,0
10.01.2016,06:00,24478.14,10/01/2016 06:00,0,0,0
10.01.2016,07:00,23813.35,10/01/2016 07:00,0,0,0
10.01.2016,08:00,24676.92,10/01/2016 08:00,0,0,0
10.01.2016,09:00,26693.26,10/01/2016 09:00,0,0,0
10.01.2016,10:00,28136.07,10/01/2016 10:00,0,0,0
10.01.2016,11:00,29059.35,10/01/2016 11:00,0,0,0
10.01.2016,12:00,28947.35,10/01/2016 12:00,0,0,0
10.01.2016,13:00,28944.66,10/01/2016 13:00,0,0,0
10.01.2016,14:00,29089.83,10/01/2016 14:00,0,0,0
10.01.2016,15:00,29447.75,10/01/2016 15:00,0,0,0
10.01.2016,16:00,30569.07,10/01/2016 16:00,0,0,0
10.01.2016,17:00,32006.15,10/01/2016 17:00,0,0,0
10.01.2016,18:00,31706.26,10/01/2016 18:00,0,0,0
10.01.2016,19:00,31305.87,10/01/2016 19:00,0,0,0
10.01.2016,20:00,30870.26,10/01/2016 20:00,0,0,0
10.01.2016,21:00,30462.79,10/01/2016 21:00,0,0,0
10.01.2016,22:00,30537.75,10/01/2016 22:00,0,0,0
10.01.2016,23:00,28857.66,10/01/2016 23:00,0,0,0
11.01.2016,00:00,27130.75,11/01/2016 00:00,0,0,0
11.01.2016,01:00,25403.4,11/01/2016 01:00,0,0,0
11.01.2016,02:00,24452.96,11/01/2016 02:00,0,0,0
11.01.2016,03:00,23959.85,11/01/2016 03:00,0,0,0
11.01.2016,04:00,23839.28,11/01/2016 04:00,0,0,0
11.01.2016,05:00,24358.46,11/01/2016 05:00,0,0,0
11.01.2016,06:00,25800.81,11/01/2016 06:00,0,0,0
11.01.2016,07:00,27336.03,11/01/2016 07:00,0,0,0
11.01.2016,08:00,32683.24,11/01/2016 08:00,0,0,0
11.01.2016,09:00,35710.94,11/01/2016 09:00,0,0,0
11.01.2016,10:00,36707.21,11/01/2016 10:00,0,0,0
11.01.2016,11:00,37289.29,11/01/2016 11:00,0,0,0
11.01.2016,12:00,35723.2,11/01/2016 12:00,0,0,0
11.01.2016,13:00,36053.2,11/01/2016 13:00,0,0,0
11.01.2016,14:00,36383.06,11/01/2016 14:00,0,0,0
11.01.2016,15:00,36013.19,11/01/2016 15:00,0,0,0
11.01.2016,16:00,36848.54,11/01/2016 16:00,0,0,0
11.01.2016,17:00,37368.4,11/01/2016 17:00,0,0,0
11.01.2016,18:00,35697.3,11/01/2016 18:00,0,0,0
11.01.2016,19:00,34482.37,11/01/2016 19:00,0,0,0
11.01.2016,20:00,33526.95,11/01/2016 20:00,0,0,0
11.01.2016,21:00,32634.16,11/01/2016 21:00,0,0,0
11.01.2016,22:00,32791.35,11/01/2016 22:00,0,0,0
11.01.2016,23:00,31147.83,11/01/2016 23:00,0,0,0
12.01.2016,00:00,29161.64,12/01/2016 00:00,0,0,0
12.01.2016,01:00,27519.24,12/01/2016 01:00,0,0,0
12.01.2016,02:00,26256.43,12/01/2016 02:00,0,0,0
12.01.2016,03:00,25766.11,12/01/2016 03:00,0,0,0
12.01.2016,04:00,25808.92,12/01/2016 04:00,0,0,0
12.01.2016,05:00,26222.03,12/01/2016 05:00,0,0,0
12.01.2016,06:00,27290.07,12/01/2016 06:00,0,0,0
12.01.2016,07:00,28628.67,12/01/2016 07:00,0,0,0
12.01.2016,08:00,32817.04,12/01/2016 08:00,0,0,0
12.01.2016,09:00,34991.32,12/01/2016 09:00,0,0,0
12.01.2016,10:00,35653.04,12/01/2016 10:00,0,0,0
12.01.2016,11:00,36011.52,12/01/2016 11:00,0,0,0
12.01.2016,12:00,34256.45,12/01/2016 12:00,0,0,0
12.01.2016,13:00,34650.74,12/01/2016 13:00,0,0,0
12.01.2016,14:00,34934,12/01/2016 14:00,0,0,0
12.01.2016,15:00,34785.11,12/01/2016 15:00,0,0,0
12.01.2016,16:00,35690.28,12/01/2016 16:00,0,0,0
12.01.2016,17:00,36566.5,12/01/2016 17:00,0,0,0
12.01.2016,18:00,35055.97,12/01/2016 18:00,0,0,0
12.01.2016,19:00,33912.94,12/01/2016 19:00,0,0,0
12.01.2016,20:00,33131.98,12/01/2016 20:00,0,0,0
12.01.2016,21:00,32332.76,12/01/2016 21:00,0,0,0
12.01.2016,22:00,32523.14,12/01/2016 22:00,0,0,0
12.01.2016,23:00,30906.87,12/01/2016 23:00,0,0,0
13.01.2016,00:00,28823.02,13/01/2016 00:00,0,0,0
13.01.2016,01:00,27321.69,13/01/2016 01:00,0,0,0
13.01.2016,02:00,26265.24,13/01/2016 02:00,0,0,0
13.01.2016,03:00,25879.07,13/01/2016 03:00,0,0,0
13.01.2016,04:00,25685.09,13/01/2016 04:00,0,0,0
13.01.2016,05:00,26018.14,13/01/2016 05:00,0,0,0
13.01.2016,06:00,27012.72,13/01/2016 06:00,0,0,0
13.01.2016,07:00,28420.19,13/01/2016 07:00,0,0,0
13.01.2016,08:00,32572.38,13/01/2016 08:00,0,0,0
13.01.2016,09:00,35554.83,13/01/2016 09:00,0,0,0
13.01.2016,10:00,36427.94,13/01/2016 10:00,0,0,0
13.01.2016,11:00,36962.04,13/01/2016 11:00,0,0,0
13.01.2016,12:00,35458.54,13/01/2016 12:00,0,0,0
13.01.2016,13:00,35858.18,13/01/2016 13:00,0,0,0
13.01.2016,14:00,36201.35,13/01/2016 14:00,0,0,0
13.01.2016,15:00,36012.25,13/01/2016 15:00,0,0,0
13.01.2016,16:00,36785.82,13/01/2016 16:00,0,0,0
13.01.2016,17:00,37173.82,13/01/2016 17:00,0,0,0
13.01.2016,18:00,35574.06,13/01/2016 18:00,0,0,0
13.01.2016,19:00,34298.68,13/01/2016 19:00,0,0,0
13.01.2016,20:00,33580.53,13/01/2016 20:00,0,0,0
13.01.2016,21:00,32554.09,13/01/2016 21:00,0,0,0
13.01.2016,22:00,32836.52,13/01/2016 22:00,0,0,0
13.01.2016,23:00,31307.88,13/01/2016 23:00,0,0,0
