Datetime,Data,Remainder,Seasonal168,Seasonal24,Seasonal8736,Trend
2018-06-03 10:00:00,24825.60562,-2381.386197,-6252.936350999999,627.3913155,-818.4170125,33650.95387
2018-06-03 11:00:00,25908.295619999997,-2349.47755,-6086.444133,1531.987015,-838.6548717000001,33650.885160000005
2018-06-03 12:00:00,26285.71562,-2119.722619,-5050.187909,670.964482,-866.1547876,33650.81646
2018-06-03 13:00:00,27090.09562,-2133.204055,-5090.6501450000005,1427.0513310000001,-763.8492586,33650.74775
2018-06-03 14:00:00,27514.975619999997,-2177.8775579999997,-5835.100201,2632.47021,-755.1958722999999,33650.67905
2018-06-03 15:00:00,27690.545619999997,-2148.222364,-5748.959235,2786.48948,-849.3725972999999,33650.61034
2018-06-03 16:00:00,28033.835619999998,-2016.1942789999998,-5541.775888,2899.0758539999997,-957.8116965,33650.54163
2018-06-03 17:00:00,28801.43562,-1764.97319,-4813.788484000001,2742.566993,-1012.842623,33650.47293
2018-06-03 18:00:00,30091.44562,-1451.5076960000001,-3542.6841520000003,2533.113409,-1097.880158,33650.40422
2018-06-03 19:00:00,30923.12562,-1333.061802,-2840.404034,2667.807199,-1221.551254,33650.335510000004
2018-06-03 20:00:00,30868.61562,-1292.866924,-2388.77298,2109.43117,-1209.442451,33650.26681
2018-06-03 21:00:00,31594.69562,-1475.645166,-2238.232486,2785.4069649999997,-1127.031791,33650.1981
2018-06-03 22:00:00,31128.28562,-1475.140196,-2186.8236739999998,2505.786591,-1365.666494,33650.1294
2018-06-03 23:00:00,29960.05562,-1511.464858,-1891.4262850000002,1329.947867,-1617.06179,33650.06069
2018-06-04 00:00:00,29621.78562,-1224.727482,-2770.58918,-217.33168419999998,184.4419853,33649.99198
2018-06-04 01:00:00,28589.36562,-1406.949627,-2675.168491,-1193.624113,215.1845764,33649.92328
2018-06-04 02:00:00,27940.85562,-1371.960513,-2550.085247,-2116.6390420000002,329.6858537,33649.854569999996
2018-06-04 03:00:00,26670.77562,-1477.577688,-2502.5438480000003,-3148.2906399999997,149.40193380000002,33649.78587
2018-06-04 04:00:00,25932.94562,-1193.0782789999998,-2380.297372,-4034.5641170000004,-108.8317686,33649.71716
2018-06-04 05:00:00,24611.69562,-956.3982958999999,-2209.43675,-5570.207046,-301.9107387,33649.64845
2018-06-04 06:00:00,24452.87562,-745.7661075,-1819.646368,-6137.367028000001,-493.92462080000007,33649.57975
2018-06-04 07:00:00,26132.66562,-531.6560955,-1029.92514,-5288.567785,-666.696398,33649.51104
2018-06-04 08:00:00,30524.635619999997,-393.875211,394.6204984,-1979.064643,-1146.487357,33649.442339999994
2018-06-04 09:00:00,32777.075619999996,-424.074445,916.1195892000001,-10.04594425,-1354.297206,33649.37363
2018-06-04 10:00:00,33572.965619999995,-374.6625071,928.609474,690.6630257999999,-1320.949293,33649.30492
2018-06-04 11:00:00,34370.53562,-486.87546430000003,925.8204484999999,1575.321217,-1292.9667949999998,33649.23622
2018-06-04 12:00:00,33401.42562,-709.0619793999999,832.353743,730.0251827999999,-1101.058834,33649.16751
